,max,mean,median,min,rmse,sse,std
traj0,0.3616455168820667,0.22510803688543218,0.24610292954253699,0.020848127290509593,0.24606934758743487,11.322873154733792,0.09938055922408941
traj10,0.03893121166453435,0.008296472499093622,0.0061906610674992806,0.000728251625566045,0.010636364076439912,0.021155729023350736,0.0066558834754196754
traj11,0.04162996465477406,0.006773509914066355,0.005290962177709056,0.00033184277220021165,0.008655257932279087,0.014008822606490369,0.0053882328567281534
traj12,0.03337337179457374,0.005582075410499988,0.004210921905439605,0.0007569659045838697,0.007306325586825897,0.00998250759959217,0.004714109427261758
traj1,0.403088048103036,0.250191377530515,0.27843434437080133,0.020384150641680802,0.2747176451493435,14.112849712046916,0.11346391129246297
traj2,0.36757250216597104,0.22703041169328447,0.2572732938508699,0.020467957822170625,0.24941427399735785,11.632798773768641,0.1032698999709346
traj3,0.3920447874266733,0.23610733223257083,0.2668263411435139,0.017485613764055868,0.2626597851598216,12.901160432418076,0.11508036498995847
traj4,0.4093267212514044,0.2410644735304001,0.27234530850200306,0.01695565908458702,0.26720810586689475,13.35183213426207,0.11527398423965705
traj5,0.2712222311469062,0.08730772449229936,0.07651359116990203,0.016701465602144354,0.09772045144344906,1.7857165998682474,0.04389359719011683
traj6,0.3210331395388207,0.08230947850975721,0.07672533328180589,0.018292780376992075,0.09301823367536252,1.6179972658677728,0.04333060746788766
traj7,0.5024913395736477,0.22899709968178172,0.17945230051383682,0.0380410336144167,0.2665815883819882,13.28929399041733,0.13647736662756912
traj8,0.24630723500889634,0.020862432751811176,0.017094080245196284,0.0008597861548279601,0.03127761828070159,0.18294011879358296,0.023303396855167576
traj9,0.0589374591803112,0.010509266124645757,0.007425798462917405,0.0012863462843336528,0.013700937340568532,0.03510283290990462,0.008790393024862899
